lambda(mkm),ldUld(eV/cm^3)
0.0912,0.027175279234486968
0.135,0.07467802443816202
0.15,0.07241181376815083
0.165,0.0737702502830586
0.2,0.07125243698398949
0.22,0.06760322614137913
0.25,0.06997811895462365
0.28,0.07834994813102782
0.365,0.1525984640260533
0.443,52.25756726573286
0.5640000000000001,80.96830542225631
0.809,118.18912093792649
1.2590000000000001,284.75302065652795
2.2,65.50397114694438
5.0,7.381553945382419
