# E (GeV), E^3 dN/dE (GeV^2 /m^2 s sr),  stat_low, stat_high, syst_lowv, syst_highv
714.713,148.62,5.33,5.33,190.91,124.99
929.98,132.95,5.71,4.56,151.12,98.45
1213.76,107.79,4.79,4.79,119.84,77.31
1579.33,74.78,4.96,5.78,95.36,60.39
2034.57,63.42,5.26,5.91,76.33,46.71
2655.41,36.13,5.88,5.88,61.68,35.52
3455.2,23.58,7.39,7.39,50.57,26.22
4509.53,45.71,8.36,8.88,42.33,18.33
